,organism,PC1_cd45minus,PC2_cd45minus
24087_4#281,human,5.32964168380979,7.95788273419381
24088_4#352,human,4.30192861155916,18.4019809972661
24087_7#308,human,3.57924302951926,-0.143647661827681
24087_8#353,human,2.49606332266596,-31.0710459056161
24088_4#208,human,-8.85447963897083,0.152739907880465
23728_7#232,human,-1.74483413540442,3.10981877964294
24087_1#325,human,13.0415883211313,2.93469262280975
24087_1#249,human,3.96997464826631,0.769917022713905
24088_4#236,human,-7.16596242430401,0.387152948139913
23728_8#352,human,-5.11330061606379,10.6609913007547
24087_4#210,human,4.94796240020594,-6.16037637167518
24088_4#284,human,4.91938999384884,15.6720633071386
24087_2#304,human,5.40241568463349,25.3704273029918
24087_1#229,human,6.55454119214926,27.9330924224664
24087_3#203,human,10.1479830636647,4.90458844980911
24087_4#279,human,2.40230127285476,-4.13894237229112
24088_4#257,human,3.49076392559582,10.6414593421464
24087_2#258,human,13.0246157488357,2.29390866212189
24087_6#259,human,3.29100654576088,6.86191324197904
24088_4#241,human,-5.33015145522284,31.1670702337299
24087_1#297,human,-12.6289747996624,32.7396418245496
24087_2#307,human,12.7656093723994,7.35080886940607
24087_4#349,human,-21.3420898466882,-11.4407573248894
23728_5#250,human,-5.3584292101949,7.845201410906
24088_4#337,human,7.57318105768002,10.187575255242
24087_5#345,human,2.75694596315883,-37.3445017480507
24087_6#355,human,-0.767240345918994,-33.4013146047394
24087_2#347,human,6.12623163535974,5.6727896008744
24087_6#345,human,2.79514934896245,-31.1454917219557
23728_5#273,human,-1.75776493989022,0.260833231507121
24088_4#214,human,2.51216708806071,23.9991969297911
24088_4#357,human,0.467594481981998,9.85061981045561
24087_3#322,human,5.84792742437639,28.5714667608639
24087_8#378,human,0.292979812927272,-41.2463365082171
24087_4#233,human,5.24449271294711,23.7455106060697
24087_4#331,human,8.16733250470443,8.70534601924228
24087_8#370,human,-4.45881546592942,-26.6638425803186
24087_2#346,human,3.72168733599489,-5.27005514632204
24088_4#256,human,3.67583054869669,18.0180877484201
24088_7#326,human,4.32827956230668,1.96759500708137
23728_3#225,human,-1.29293358924334,-3.76432362801572
24088_4#323,human,4.55746245681526,9.90381659446821
24088_4#200,human,-2.05408352362519,-35.6717857759137
24087_4#256,human,6.75211450432854,6.74577986233763
24087_8#350,human,1.13541145398488,-39.0196890179787
23728_5#209,human,0.203144714454015,-0.664294604135872
24087_6#379,human,4.35568343019618,-40.8596106240972
24087_8#351,human,-5.12968259876748,-26.0314436142212
23728_7#283,human,7.14752929968917,14.1657496743789
24087_3#228,human,3.765169383209,-2.07156456320036
24087_5#354,human,0.681407881554907,-32.8557106405633
24087_1#322,human,-2.47283228071166,-12.7334355881822
24087_6#380,human,2.28612453900058,-37.5008768917502
24088_4#248,human,0.816000687960955,9.00437741138188
24088_4#228,human,-11.324930827068,31.8392128634704
24087_2#228,human,7.75099718857929,24.2641252544661
24087_2#229,human,14.9528903195647,7.05342716801846
24088_8#378,human,-3.38284638743435,-31.482153369816
24087_3#256,human,16.3991514089357,6.01696327689565
24087_2#249,human,6.14038778106008,5.07690581896547
23728_7#372,human,2.98149261226079,7.55160677951506
24087_2#352,human,8.98613679895571,3.1782223411096
23728_5#304,human,-2.02218261290993,1.31834644856997
24087_4#299,human,4.44176143515018,5.78327422607934
24087_1#351,human,4.0190136419036,-3.8570036031622
24087_2#345,human,8.0793023998182,1.01740653181518
24087_1#352,human,5.30385016130518,-7.33455945535278
24088_4#334,human,-0.351895073763854,8.9083520351881
24087_5#353,human,0.520927206082035,-31.4507666508857
24087_6#354,human,0.585150365264577,-31.7543493204194
23728_3#283,human,-20.164651321115,-9.20098529085505
24087_6#349,human,3.72256886110341,-38.2499191091461
24087_2#372,human,-11.7824439850607,33.7136901422218
23728_7#323,human,13.9465241339405,8.16002657750545
24087_1#301,human,16.3265927930712,5.28616379137376
23728_3#233,human,1.20432233908553,-10.2471032586863
24087_2#232,human,9.00889795403398,6.89885480792071
24087_4#302,human,-11.3577090948835,32.5525006888378
23728_5#300,human,-7.66613150721145,7.9386975376755
24087_7#209,human,5.25714984207462,3.07644591735643
23728_6#207,human,-2.03446140965176,11.3455315222337
24088_8#377,human,-3.11944916779347,-31.5073493197929
23728_5#331,human,-2.40916093621451,0.162025060397403
23728_3#228,human,-6.65565049938392,2.9336528506149
24088_7#375,human,-11.0481027568618,34.5245083099637
24087_1#349,human,-9.22965261669306,35.2012760134562
24087_2#324,human,8.27334952376472,26.7048199536787
24088_8#354,human,0.309263893409627,-42.3582730739063
23728_4#231,human,-2.77383071505989,-0.340421881114671
24087_3#299,human,2.79528275099735,-1.48716943696651
24087_1#226,human,2.52547201322794,19.0812490065739
24087_1#231,human,5.42758645540514,3.94819088540346
23728_8#282,human,4.55183703915396,24.4237952625356
23728_5#276,human,-7.65730662916189,7.48006551235514
24088_4#219,human,1.16587327862638,1.66569384247101
24087_5#356,human,1.79743124803512,-38.2460130706585
23728_7#203,human,-1.66503147746118,3.71265343133485
24087_1#355,human,3.44778117151021,-5.1844028778556
24087_6#232,human,3.06569307525041,-1.67449377509393
24087_8#284,human,-0.431864806188411,-0.768576823607664
24087_4#370,human,1.69970756789604,-4.62773408447048
24088_7#350,human,1.88435726402283,-31.1408742045276
23728_4#325,human,-7.71726667244407,9.85642483850198
24088_4#342,human,-8.87222236035913,32.1005269024533
24087_4#235,human,4.01019391053372,4.26544413512451
24087_3#352,human,3.54072547528774,-7.20779115898545
24087_4#277,human,17.1246481914749,3.60249967318663
23728_7#352,human,-0.786653229287813,11.1560851345809
24087_6#346,human,2.22355128237629,-34.1072640651255
24088_4#327,human,2.94937658512316,3.05152735493086
24087_4#208,human,-20.4295056052121,-10.3418805071351
24087_2#369,human,-12.3187082349196,31.5736155909943
24087_1#306,human,7.83382894834315,-0.06906122197343
24087_3#321,human,15.1950512525706,5.07024537378961
24087_2#251,human,8.77262766200946,7.63514225784025
24087_4#211,human,-4.19932502847275,-11.7972999323383
24087_1#374,human,5.78242189367712,-6.32503122181509
24088_4#250,human,-5.40788145298691,-26.5135111104531
24088_4#372,human,4.17587943155628,9.8304957487211
24087_4#276,human,8.32184175118161,5.26135247554273
24088_4#239,human,2.33947380837125,10.1339743541135
24087_1#353,human,-13.1987601149379,31.2244464542913
23728_6#231,human,-0.430232837251275,19.3474157074708
24087_8#231,human,4.10095943250022,11.3500183404814
24087_6#374,human,-4.40830083732731,-25.6632104104809
23728_8#371,human,2.3259741972242,-9.94458573703824
24087_3#209,human,3.84889782823609,-5.48046958518355
24087_1#304,human,-9.90701690952236,34.4375466629274
24087_4#369,human,-21.9916490066789,-9.67495391273058
24087_7#370,human,1.18606524370413,-34.8950860573813
24087_5#351,human,2.2889690618129,-40.9156291919968
24088_4#314,human,1.20361450172983,9.75626928646208
24088_4#289,human,-8.07244809843114,0.670405632830525
23728_7#331,human,-1.87409034034239,2.63183427789015
24087_1#283,human,-22.1528444929881,-8.64483900262149
24087_4#300,human,4.08292796772215,-4.17776159802486
24087_5#371,human,4.11776411443696,-40.5112825117725
24087_2#280,human,12.6306356328152,8.76285407519328
23728_4#331,human,-4.79064402516646,9.67378158548013
24087_2#299,human,6.92992190004237,14.51600677677
23728_4#208,human,-7.60999869833489,10.0355599446086
24087_2#209,human,-10.782720512802,32.6653291223099
24088_4#283,human,1.07062043654803,17.569281646941
24087_6#308,human,-2.08655700393998,-31.4632034666392
24087_5#347,human,1.72546000766623,-31.5282549386368
24087_5#349,human,4.17948033527857,-32.2763268550857
24088_4#269,human,5.09834800365133,9.76866446292377
24087_2#206,human,-3.46240423564354,-2.86133269463
24087_5#327,human,10.0265940682034,10.7662486256724
24087_1#346,human,5.81292405273925,-5.00823686738322
24088_4#259,human,-1.95459306510066,5.22719647069855
24087_8#369,human,0.983857365606092,-30.8126214391727
24087_1#282,human,-22.0081893504995,-7.76340966182174
24088_4#325,human,-2.16583584316532,-35.5476554151094
23728_4#324,human,-8.83802908238096,10.3295092237803
24087_6#353,human,4.7509309341696,-36.3101445646239
24087_1#379,human,-11.7400323730618,32.6827611471115
23728_4#326,human,-4.01852698482799,10.3257600350158
24088_4#245,human,0.661293636015405,8.28064087570217
24088_4#231,human,5.06485123830796,22.6329508898433
24088_4#240,human,0.190398128589256,3.74382844967315
23728_4#284,human,-7.67033645027805,10.8083812739094
24087_5#346,human,3.4287965957955,-41.1757503899516
23728_3#278,human,-0.947375300769768,-12.0224691512873
24088_4#362,human,3.15247112715346,8.77141095422932
23728_4#252,human,-4.17595086334455,9.79993287157452
23728_5#282,human,2.0320174321812,-9.70109393619382
24088_8#374,human,2.48683259167674,-31.887334259048
24087_1#276,human,18.0783168151894,2.96282418773483
24087_1#212,human,5.43782030060924,24.7648821425254
23728_4#298,human,2.81537560029483,19.1531285040098
24087_7#375,human,0.555823257172843,-33.890570336099
23728_6#284,human,-5.14975811737075,10.1594713214297
23728_8#236,human,-1.69013482153691,6.4369235964779
24088_4#281,human,-4.50582527428757,-25.4029907640167
24088_4#198,human,1.64528434262413,1.33993004243123
24088_8#370,human,1.29995493201135,-42.0199352939258
24087_2#254,human,-12.5113944503362,33.379781785455
24087_8#257,human,-1.29086584831393,-1.49996688290544
24087_7#354,human,2.90163302892307,-38.3410301113656
24088_4#294,human,-10.3274274044509,31.8935335120852
24088_7#370,human,-3.39496388020537,-32.5910839303097
23728_5#204,human,1.03288843379615,-10.8279925117918
24087_3#258,human,9.02314557116457,21.8394224635359
24087_4#328,human,6.40351289211137,24.5202661875604
24087_3#379,human,-20.2196525600605,-10.8854145864649
23728_3#207,human,0.974698509772426,-10.6137658032329
24088_4#321,human,-8.55761620478363,0.303762544616718
24087_1#321,human,-12.8978057495496,31.7098204608681
24087_1#233,human,12.6878240174785,8.53120173204038
24088_4#307,human,-9.95945170150117,30.0193019280201
24087_5#379,human,1.82962459178255,-37.8172620663721
24088_4#221,human,1.01369602443337,17.6272783154269
23728_5#306,human,-4.76007245036098,6.98072385056031
24087_4#283,human,8.42614972649865,-1.52820036604886
24088_4#291,human,4.98780121196893,8.58865199258054
24088_7#378,human,0.317486798954224,-41.4236937608947
24088_4#261,human,1.46089568630231,0.806178609351874
23728_4#330,human,-9.42095363839689,9.0503664132138
24088_7#251,human,2.48790094297362,-1.59859253569106
24087_2#321,human,3.81022194190074,22.4101314183358
24087_8#373,human,4.49479064264112,-37.0511218038928
24087_5#348,human,1.21781545167281,-34.5338235923312
24087_4#373,human,-16.6437900099577,-10.7055879431641
24087_1#323,human,5.87142725190582,-1.80940840006473
23728_3#305,human,-6.7364160274745,4.15323177812124
23728_4#203,human,-5.49844165703181,8.37910140694117
24087_5#350,human,-1.08552136078261,-33.1731983374664
24087_4#252,human,4.67397474916662,23.5190290872295
24087_5#372,human,-2.61733818586148,-33.1166327083314
24088_4#216,human,2.77041537553555,3.48059890904167
24088_4#246,human,-0.164721482019334,6.82200634839575
24088_4#305,human,4.61831994501493,22.2535014127675
24087_6#227,human,6.98596154948449,22.2794683167328
24087_2#253,human,8.82548193388896,24.5629778564751
24087_6#249,human,-0.651059584635163,-10.7778631649759
24087_3#327,human,-12.5514840239419,33.6041114479523
24087_3#253,human,11.1919694713523,0.580413165172585
24088_7#372,human,-1.13791648681151,-38.5353629441129
24087_4#260,human,15.3432280865444,6.69985532310588
24087_1#280,human,-0.932990168439085,19.3129045203188
24087_3#371,human,4.18140876999408,-5.14331347907018
24087_4#249,human,-10.9086598203776,31.5860350312522
23728_3#259,human,-9.91879256114097,5.05705670397881
23728_5#231,human,2.16503752485156,-9.57427170673385
24088_4#249,human,-9.15588932686238,-0.362673489435072
24088_4#379,human,-5.87144292289848,31.3267377155092
24088_4#350,human,-6.37561056433376,3.23717238201528
24087_1#324,human,-4.8430859140644,-11.4898326034382
24087_7#350,human,0.929200417251022,-32.9408818959719
24087_6#372,human,3.80972609588647,-39.8949987598485
23728_5#323,human,-9.05140281496514,7.68368646550998
24087_4#278,human,4.52794761611585,-1.32187578337136
23728_3#231,human,0.518339106623266,-10.5953132014017
24087_4#253,human,-19.4254300205846,-10.2009423876857
24087_8#372,human,1.36277752250841,-30.3844720317352
24087_7#351,human,1.80019554562,-36.9083856706864
24088_4#306,human,2.22905321353864,-33.1241451765503
23728_8#305,human,-9.22939634267837,30.3193529308581
24087_6#370,human,0.761294120818649,-37.8419890427972
24087_4#236,human,10.751170032605,6.40911427125755
24088_8#283,human,-7.05896989796656,7.10490999932972
24087_1#326,human,4.73242317286225,-4.18782840767636
24087_3#229,human,12.9949088891348,0.021135642745105
24087_4#351,human,3.77473687835373,-7.8394179799985
24088_4#218,human,0.171191612600493,7.21840621070242
24088_4#253,human,6.71292515569312,25.2188427168922
24088_7#236,human,1.15469997266087,-0.984631179007201
24088_4#234,human,-10.4603058867279,31.0558234488699
24087_1#303,human,5.33222354693818,-4.24864705392541
24087_4#307,human,17.4967975818151,6.57809420609208
24088_4#332,human,-5.10499165783987,-27.1841521404405
23728_5#279,human,-9.01764165685355,9.04799084906942
24087_3#233,human,9.691665624824,4.64491569798741
24088_4#351,human,-1.18298881833516,-10.3808783128785
24088_4#364,human,2.9145546878982,4.19262696559338
24088_4#344,human,-0.616762739488556,4.67631215198359
24087_3#235,human,8.02278432791587,25.0551251045089
24087_5#369,human,2.55841372937795,-38.399571000749
24087_4#305,human,7.59716696884623,27.2779380863967
24087_5#355,human,0.022727185405492,-34.9967553182026
24087_1#370,human,4.56927867889587,-7.21008575940683
24087_3#374,human,-21.2297047747367,-11.1529241463763
24088_4#292,human,3.50032899298153,11.2278169157157
24087_8#346,human,2.21860443814454,-30.2496352516321
24088_4#347,human,-14.4051069487421,-11.8940187288808
23728_3#277,human,-11.019283025615,28.7586098782603
24088_7#299,human,7.63338385861431,-6.14856474889242
24087_8#371,human,-0.084913523048185,-30.607174252573
24087_4#280,human,-15.1769018663755,-10.331282488234
24088_4#243,human,4.41799160311389,18.8244812487193
