sample,cluster_cd45minus,organism
24087_4#281,0,human
24088_4#352,4,human
24087_7#308,2,human
24087_8#353,1,human
24088_4#208,3,human
23728_7#232,3,human
24087_1#325,0,human
24087_1#249,2,human
24088_4#236,3,human
23728_8#352,3,human
24087_4#210,2,human
24088_4#284,3,human
24087_2#304,4,human
24087_1#229,4,human
24087_3#203,0,human
24087_4#279,2,human
24088_4#257,3,human
24087_2#258,0,human
24087_6#259,0,human
24088_4#241,5,human
24087_1#297,5,human
24087_2#307,0,human
24087_4#349,6,human
23728_5#250,3,human
24088_4#337,0,human
24087_5#345,1,human
24087_6#355,1,human
24087_2#347,0,human
24087_6#345,1,human
23728_5#273,2,human
24088_4#214,4,human
24088_4#357,3,human
24087_3#322,4,human
24087_8#378,1,human
24087_4#233,4,human
24087_4#331,0,human
24087_8#370,1,human
24087_2#346,2,human
24088_4#256,4,human
24088_7#326,2,human
23728_3#225,2,human
24088_4#323,0,human
24088_4#200,1,human
24087_4#256,0,human
24087_8#350,1,human
23728_5#209,2,human
24087_6#379,1,human
24087_8#351,1,human
23728_7#283,0,human
24087_3#228,2,human
24087_5#354,1,human
24087_1#322,7,human
24087_6#380,1,human
24088_4#248,3,human
24088_4#228,5,human
24087_2#228,4,human
24087_2#229,0,human
24088_8#378,1,human
24087_3#256,0,human
24087_2#249,0,human
23728_7#372,0,human
24087_2#352,0,human
23728_5#304,3,human
24087_4#299,0,human
24087_1#351,2,human
24087_2#345,2,human
24087_1#352,9,human
24088_4#334,3,human
24087_5#353,1,human
24087_6#354,1,human
23728_3#283,6,human
24087_6#349,1,human
24087_2#372,5,human
23728_7#323,0,human
24087_1#301,0,human
23728_3#233,9,human
24087_2#232,0,human
24087_4#302,5,human
23728_5#300,3,human
24087_7#209,2,human
23728_6#207,3,human
24088_8#377,1,human
23728_5#331,2,human
23728_3#228,3,human
24088_7#375,5,human
24087_1#349,5,human
24087_2#324,4,human
24088_8#354,1,human
23728_4#231,2,human
24087_3#299,2,human
24087_1#226,4,human
24087_1#231,0,human
23728_8#282,4,human
23728_5#276,3,human
24088_4#219,2,human
24087_5#356,1,human
23728_7#203,3,human
24087_1#355,2,human
24087_6#232,2,human
24087_8#284,2,human
24087_4#370,2,human
24088_7#350,1,human
23728_4#325,3,human
24088_4#342,5,human
24087_4#235,0,human
24087_3#352,9,human
24087_4#277,0,human
23728_7#352,3,human
24087_6#346,1,human
24088_4#327,2,human
24087_4#208,6,human
24087_2#369,5,human
24087_1#306,2,human
24087_3#321,0,human
24087_2#251,0,human
24087_4#211,7,human
24087_1#374,2,human
24088_4#250,1,human
24088_4#372,3,human
24087_4#276,0,human
24088_4#239,0,human
24087_1#353,5,human
23728_6#231,4,human
24087_8#231,0,human
24087_6#374,1,human
23728_8#371,9,human
24087_3#209,2,human
24087_1#304,5,human
24087_4#369,6,human
24087_7#370,1,human
24087_5#351,1,human
24088_4#314,3,human
24088_4#289,3,human
23728_7#331,3,human
24087_1#283,6,human
24087_4#300,2,human
24087_5#371,1,human
24087_2#280,0,human
23728_4#331,3,human
24087_2#299,0,human
23728_4#208,3,human
24087_2#209,5,human
24088_4#283,4,human
24087_6#308,1,human
24087_5#347,1,human
24087_5#349,1,human
24088_4#269,0,human
24087_2#206,2,human
24087_5#327,0,human
24087_1#346,2,human
24088_4#259,3,human
24087_8#369,1,human
24087_1#282,6,human
24088_4#325,1,human
23728_4#324,3,human
24087_6#353,1,human
24087_1#379,5,human
23728_4#326,3,human
24088_4#245,3,human
24088_4#231,4,human
24088_4#240,2,human
23728_4#284,3,human
24087_5#346,1,human
23728_3#278,7,human
24088_4#362,0,human
23728_4#252,3,human
23728_5#282,9,human
24088_8#374,1,human
24087_1#276,0,human
24087_1#212,4,human
23728_4#298,4,human
24087_7#375,1,human
23728_6#284,3,human
23728_8#236,3,human
24088_4#281,1,human
24088_4#198,2,human
24088_8#370,1,human
24087_2#254,5,human
24087_8#257,2,human
24087_7#354,1,human
24088_4#294,5,human
24088_7#370,1,human
23728_5#204,7,human
24087_3#258,0,human
24087_4#328,4,human
24087_3#379,6,human
23728_3#207,9,human
24088_4#321,3,human
24087_1#321,5,human
24087_1#233,0,human
24088_4#307,5,human
24087_5#379,1,human
24088_4#221,4,human
23728_5#306,3,human
24087_4#283,2,human
24088_4#291,0,human
24088_7#378,1,human
24088_4#261,2,human
23728_4#330,3,human
24088_7#251,2,human
24087_2#321,4,human
24087_8#373,1,human
24087_5#348,1,human
24087_4#373,6,human
24087_1#323,2,human
23728_3#305,3,human
23728_4#203,3,human
24087_5#350,1,human
24087_4#252,4,human
24087_5#372,1,human
24088_4#216,0,human
24088_4#246,3,human
24088_4#305,4,human
24087_6#227,4,human
24087_2#253,4,human
24087_6#249,7,human
24087_3#327,5,human
24087_3#253,0,human
24088_7#372,1,human
24087_4#260,0,human
24087_1#280,4,human
24087_3#371,2,human
24087_4#249,5,human
23728_3#259,3,human
23728_5#231,9,human
24088_4#249,3,human
24088_4#379,5,human
24088_4#350,3,human
24087_1#324,7,human
24087_7#350,1,human
24087_6#372,1,human
23728_5#323,3,human
24087_4#278,2,human
23728_3#231,9,human
24087_4#253,6,human
24087_8#372,1,human
24087_7#351,1,human
24088_4#306,1,human
23728_8#305,5,human
24087_6#370,1,human
24087_4#236,0,human
24088_8#283,3,human
24087_1#326,2,human
24087_3#229,0,human
24087_4#351,9,human
24088_4#218,3,human
24088_4#253,4,human
24088_7#236,2,human
24088_4#234,5,human
24087_1#303,2,human
24087_4#307,0,human
24088_4#332,1,human
23728_5#279,3,human
24087_3#233,0,human
24088_4#351,7,human
24088_4#364,0,human
24088_4#344,3,human
24087_3#235,4,human
24087_5#369,1,human
24087_4#305,4,human
24087_5#355,1,human
24087_1#370,9,human
24087_3#374,6,human
24088_4#292,0,human
24087_8#346,1,human
24088_4#347,1,human
23728_3#277,5,human
24088_7#299,2,human
24087_8#371,1,human
24087_4#280,7,human
24088_4#243,4,human
23728_8#370,2,human
24087_4#255,0,human
24088_4#339,2,human
24088_4#220,3,human
24087_3#259,0,human
24087_2#226,5,human
24087_2#331,0,human
24088_8#345,1,human
23728_8#202,9,human
24088_4#242,3,human
23728_3#298,3,human
24088_4#301,1,human
24088_7#352,1,human
24088_4#310,5,human
24087_7#346,1,human
24087_6#350,1,human
24088_4#205,9,human
24088_4#329,5,human
24087_4#203,7,human
23728_3#250,9,human
24087_2#374,4,human
24088_4#197,3,human
24087_2#235,6,human
24087_8#354,1,human
24088_4#374,4,human
24087_3#297,0,human
23728_3#227,3,human
24088_7#321,2,human
23728_3#249,3,human
24087_1#259,0,human
24087_2#231,4,human
24088_4#335,4,human
24087_3#375,2,human
24087_6#348,1,human
24087_4#321,0,human
24088_4#262,0,human
24087_7#353,1,human
24087_1#205,4,human
24087_4#297,0,human
24087_2#205,4,human
24087_4#207,0,human
24087_6#378,1,human
24087_2#322,0,human
24087_3#301,0,human
24087_2#278,7,human
24088_7#355,1,human
24087_3#251,0,human
23728_3#205,3,human
24088_4#204,5,human
24087_3#211,5,human
24087_1#369,9,human
24087_3#204,0,human
23728_4#308,3,human
24088_4#202,3,human
24087_1#228,7,human
24087_3#277,5,human
24087_2#212,0,human
24087_4#323,6,human
24087_2#356,0,human
24088_4#267,3,human
24087_1#251,0,human
24087_6#352,1,human
24087_4#226,0,human
24088_4#278,3,human
24088_4#209,5,human
24087_1#329,0,human
24087_7#303,1,human
24087_3#306,0,human
24087_5#377,1,human
24087_4#330,0,human
24088_4#333,5,human
24088_8#346,1,human
24087_2#351,2,human
24087_4#234,4,human
24088_7#356,1,human
24088_4#355,4,human
24087_3#274,6,human
24087_1#328,0,human
24087_8#349,1,human
24087_1#298,6,human
24087_2#225,0,human
24087_3#273,0,human
24088_4#247,0,human
24087_2#325,0,human
24087_4#225,4,human
24087_2#330,0,human
24088_8#371,1,human
24088_8#375,1,human
24088_4#377,3,human
24088_4#368,0,human
24088_4#215,2,human
24088_4#266,0,human
24087_8#355,1,human
24087_1#331,0,human
23728_4#279,3,human
23728_7#348,2,human
24087_4#229,4,human
24087_8#375,1,human
24087_3#206,6,human
24087_3#298,0,human
24088_4#304,7,human
24088_7#379,1,human
24087_6#373,1,human
24087_3#278,7,human
23728_5#210,2,human
24087_1#257,7,human
23728_3#226,3,human
24087_3#225,0,human
24087_2#373,6,human
24088_7#305,2,human
24087_1#253,0,human
24087_2#355,0,human
24087_7#373,1,human
23728_4#321,3,human
23728_6#330,3,human
24087_3#210,0,human
24088_8#350,1,human
23728_5#308,6,human
24087_7#328,0,human
24087_2#298,0,human
23728_4#212,3,human
24087_1#227,0,human
24088_4#302,3,human
24087_3#325,7,human
24087_8#307,2,human
24087_2#371,2,human
24087_8#226,3,human
24087_6#206,1,human
24087_4#355,2,human
24087_3#279,0,human
24087_4#325,4,human
24087_1#204,0,human
24087_1#274,0,human
24088_4#217,4,human
24087_8#377,5,human
23728_4#300,3,human
24087_6#332,1,human
24087_2#353,4,human
24087_7#297,3,human
24088_4#315,5,human
23728_5#277,3,human
24087_1#236,5,human
24088_4#373,5,human
24088_8#347,1,human
24087_3#234,0,human
24088_4#296,5,human
24087_4#232,4,human
24087_1#202,0,human
24087_4#205,7,human
24087_3#323,9,human
24087_1#281,6,human
24087_4#212,5,human
24087_2#203,0,human
23728_4#304,3,human
24087_3#355,6,human
24088_4#336,4,human
24087_3#380,2,human
24087_4#353,0,human
24087_4#274,7,human
24088_4#276,5,human
24087_4#254,4,human
24087_2#326,4,human
23728_3#234,2,human
24088_7#346,1,human
24087_2#329,5,human
24088_8#369,1,human
24087_1#232,6,human
24087_6#369,1,human
24087_8#376,1,human
24087_2#279,0,human
24087_3#208,0,human
23728_5#280,3,human
24088_4#338,0,human
24088_8#355,1,human
23728_3#376,2,human
24088_8#208,2,human
24087_4#231,5,human
24087_2#275,0,human
24087_3#205,4,human
24087_6#347,1,human
24088_4#293,5,human
24087_2#327,0,human
24087_3#348,6,human
24088_4#326,4,human
24087_4#329,2,human
24088_4#193,4,human
24088_4#207,3,human
24087_3#207,7,human
24088_4#297,5,human
24088_4#229,4,human
23728_3#208,5,human
24087_2#328,0,human
23728_3#307,5,human
23728_5#278,3,human
24087_1#348,6,human
24088_8#376,1,human
24087_2#305,4,human
24087_8#249,5,human
24087_2#323,4,human
24087_1#332,0,human
24087_3#260,4,human
24087_4#304,0,human
24088_4#203,1,human
24087_1#380,0,human
24088_4#263,1,human
